epoch,step,test_loss,test_mae,train_loss,train_mae_epoch,train_mae_step,valid_loss,valid_mae
0,4,,,,,320.2386474609375,,
0,5,,,,,,136199.390625,237.53187561035156
0,5,,,927258.125,555.1452026367188,,,
1,9,,,,,241.098876953125,,
1,11,,,,,,134992.890625,235.17091369628906
1,11,,,210377.765625,287.8258361816406,,,
2,14,,,,,284.6053466796875,,
2,17,,,,,,123474.28125,235.7851104736328
2,17,,,208108.3125,283.95184326171875,,,
3,19,,,,,304.91546630859375,,
3,23,,,,,,129459.5703125,238.4958953857422
3,23,,,149231.28125,251.15028381347656,,,
4,24,,,,,232.2517547607422,,
4,29,,,,,245.408447265625,,
4,29,,,,,,120139.8671875,238.3495635986328
4,29,,,142402.828125,246.25592041015625,,,
5,34,,,,,233.8502197265625,,
5,35,,,,,,134628.921875,245.09043884277344
5,35,,,154522.765625,262.1331481933594,,,
6,39,,,,,256.7039794921875,,
6,41,,,,,,116890.6015625,237.9326171875
6,41,,,151427.9375,251.29876708984375,,,
7,44,,,,,320.040283203125,,
7,47,,,,,,137174.953125,248.44125366210938
7,47,,,192581.09375,279.9715576171875,,,
8,49,,,,,272.3655090332031,,
8,53,,,,,,117271.0,246.49412536621094
8,53,,,139163.875,239.26268005371094,,,
9,54,,,,,179.8576202392578,,
9,59,,,,,304.62890625,,
9,59,,,,,,121058.0703125,255.93670654296875
9,59,,,132822.703125,238.53912353515625,,,
10,64,,,,,144.91058349609375,,
10,65,,,,,,145289.015625,260.6334533691406
10,65,,,127341.1171875,239.91180419921875,,,
11,69,,,,,223.75648498535156,,
11,71,,,,,,113883.03125,242.33212280273438
11,71,,,137712.171875,240.71884155273438,,,
12,74,,,,,210.031494140625,,
12,77,,,,,,118936.828125,237.94549560546875
12,77,,,139991.3125,251.28656005859375,,,
13,79,,,,,263.77960205078125,,
13,83,,,,,,142786.390625,260.2651062011719
13,83,,,132465.296875,235.3997344970703,,,
14,84,,,,,304.71893310546875,,
14,89,,,,,236.02976989746094,,
14,89,,,,,,117420.1796875,246.14437866210938
14,89,,,139705.375,248.9444580078125,,,
15,94,,,,,244.97390747070312,,
15,95,,,,,,168049.515625,272.8127136230469
15,95,,,148491.171875,262.2054443359375,,,
16,99,,,,,212.652587890625,,
16,101,,,,,,134068.484375,247.04071044921875
16,101,,,126675.953125,237.05233764648438,,,
17,104,,,,,238.82147216796875,,
17,107,,,,,,112106.1015625,239.50355529785156
17,107,,,134499.296875,234.8499755859375,,,
18,109,,,,,188.13522338867188,,
18,113,,,,,,135953.390625,247.544189453125
18,113,,,137707.046875,238.22926330566406,,,
19,114,,,,,262.9928894042969,,
19,119,,,,,111.60444641113281,,
19,119,,,,,,118566.09375,228.61744689941406
19,119,,,146679.078125,238.5048828125,,,
20,124,,,,,237.5326385498047,,
20,125,,,,,,97772.6171875,215.03785705566406
20,125,,,112291.4296875,216.8717803955078,,,
21,129,,,,,250.78326416015625,,
21,131,,,,,,117705.4765625,227.50559997558594
21,131,,,117424.171875,223.4143524169922,,,
22,134,,,,,262.4666748046875,,
22,137,,,,,,119464.328125,225.91830444335938
22,137,,,139417.59375,248.0330352783203,,,
23,139,,,,,204.21633911132812,,
23,143,,,,,,110969.953125,231.17425537109375
23,143,,,116984.9609375,224.1922149658203,,,
24,144,,,,,258.6436462402344,,
24,149,,,,,327.2540283203125,,
24,149,,,,,,119566.0078125,258.7470397949219
24,149,,,112693.5625,224.230712890625,,,
25,154,,,,,244.30230712890625,,
25,155,,,,,,100089.3828125,220.83656311035156
25,155,,,148051.109375,248.65939331054688,,,
26,159,,,,,106.3254165649414,,
26,161,,,,,,98610.1015625,205.1891632080078
26,161,,,99628.6953125,207.80865478515625,,,
27,164,,,,,184.76309204101562,,
27,167,,,,,,113251.09375,227.45298767089844
27,167,,,130340.2421875,235.2354736328125,,,
28,169,,,,,156.93299865722656,,
28,173,,,,,,120635.8671875,260.05499267578125
28,173,,,108980.25,217.78038024902344,,,
29,174,,,,,168.83705139160156,,
29,179,,,,,226.94203186035156,,
29,179,,,,,,115874.328125,212.44004821777344
29,179,,,114807.03125,227.22930908203125,,,
30,184,,,,,211.37265014648438,,
30,185,,,,,,99900.2578125,224.15615844726562
30,185,,,134754.40625,245.4031982421875,,,
31,189,,,,,182.80502319335938,,
31,191,,,,,,104938.3671875,235.47796630859375
31,191,,,125138.0234375,239.54698181152344,,,
32,194,,,,,149.5430908203125,,
32,197,,,,,,118824.296875,228.61204528808594
32,197,,,106509.9296875,223.40158081054688,,,
33,199,,,,,329.16326904296875,,
33,203,,,,,,106259.1015625,209.56997680664062
33,203,,,137941.75,244.8419189453125,,,
34,204,,,,,211.98971557617188,,
34,209,,,,,207.82110595703125,,
34,209,,,,,,100569.2265625,217.48048400878906
34,209,,,117529.6015625,229.40809631347656,,,
35,214,,,,,217.69090270996094,,
35,215,,,,,,122158.2578125,221.32891845703125
35,215,,,109242.671875,227.0772705078125,,,
36,219,,,,,207.1588592529297,,
36,221,,,,,,125716.1171875,262.478515625
36,221,,,114522.984375,220.08892822265625,,,
37,224,,,,,192.80950927734375,,
37,227,,,,,,118008.28125,214.41357421875
